enz	rxns	protein_stoich	MW (g/mmol)	status
YBR145W	ALCD22xi_c,ALCD25xi_c,ALCD24xi_c,ALCD23xi_c,ALCD26xi_c,ALCD2i2_c	YBR145W:1	37.97471	automatically added
YDL168W	ALCD22xi_c,ALCD25xi_c,ALCD24xi_c,ALCD23xi_c,ALCD26xi_c,FALDH_c	YDL168W:1	41.4066	automatically added
YCR105W	ALCD22yi_c,ALCD25yi_c,ALCD24yi_c,ALCD23yi_c	YCR105W:1	39.69019	automatically added
YMR318C	ALCD22yi_c,ALCD25yi_c,ALCD24yi_c,ALCD23yi_c	YMR318C:1	39.95519	automatically added
YMR303C	ALCD2i1_c	YMR303C:1	37.05757	automatically added
YMR083W	ALCD2i2_m,ALCD22xi_m,ALCD25xi_m,ALCD24xi_m,ALCD23xi_m,ALCD26xi_m	YMR083W:1	40.73117	automatically added
YGL256W	ALCD2i2_m,ALCD22xi_m,ALCD25xi_m,ALCD24xi_m,ALCD23xi_m,ALCD26xi_m	YGL256W:1	41.49671	automatically added
YMR110C	ALDD22x_c,4ABTORy_c,4ABTORx_c	YMR110C:1	60.48836	automatically added
YMR170C	ALDD22x_c,ALDD19xi_c,ALDD2x_c	YMR170C:1	55.66827	automatically added
YMR169C	ALDD22x_c,ALDD19xi_c,ALDD2x_c	YMR169C:1	55.86669	automatically added
YOR374W	ALDD2x_m,ALDD2y_m,ALDD20x_m,ALDD20y_m,ABUTD_m	YOR374W:1	57.22107	automatically added
YPL061W	ALDD2y_c,ALDD20y_c	YPL061W:1	54.88654	automatically added
YER073W	ALDD2y_m,ALDD20y_m	YER073W:1	57.19727	automatically added
YBR070CYGL047W	ALG14RXN_r	YBR070C:1,YGL047W:1	50.108810000000005	automatically added
YIR027C	ALLTN_c	YIR027C:1	50.55482	automatically added
YIR028W	ALLTNt_c_e	YIR028W:1	72.37536	automatically added
YJR152W	ALLTTt_c_e	YJR152W:1	61.38168	automatically added
YBR208C	ALPHNH_c,UREASE_c	YBR208C:1	203.61414	automatically added
YNR058W	AMAOTr_c	YNR058W:1	54.1602	automatically added
YNL003C	AMETt_c_m	YNL003C:1	31.30563	automatically added
YPL274W	AMETtps_e,SPMDtpa_e	YPL274W:1	64.92514	automatically added
YDR242W	AMID_c	YDR242W:1	61.92756	automatically added
YBL080CYGR102CYMR293C	AMID_c	YBL080C:1,YGR102C:1,YMR293C:1	134.72329000000002	automatically added
YML035C	AMPDA_c	YML035C:1	94.0786	automatically added
YCL047C	ANNAT_c	YCL047C:1	29.91517	automatically added
YLR328W	ANNAT_c,ANNAT_n,NNATi_c	YLR328W:1	46.23569	automatically added
YGR010W	ANNAT_n,NNATi_c	YGR010W:1	45.27367	automatically added
YDR354W	ANPRT_c	YDR354W:1	41.72911	automatically added
YER090WYKL211C	ANS_c	YER090W:1,YKL211C:1	111.19493	automatically added
YAR069W-A	AOXS_c	YAR069W-A:1	49.02498	automatically added
YHR214W-F	AOXS_c	YHR214W-F:1	49.02498	automatically added
YDR305C	AP4AH_c	YDR305C:1	24.98709	automatically added
YLR239C	APOOCT_m,APOLIPT_m	YLR239C:1	37.55904	automatically added
YML086C	ARAB14LO_c	YML086C:1	59.99801	automatically added
YBR149W	ARAB1D2_c	YBR149W:1	39.20017	automatically added
YMR041C	ARAB1Dx_c	YMR041C:1	38.52702	automatically added
YPL111W	ARGN_c	YPL111W:1	35.96563	automatically added
YHR018C	ARGSL_c	YHR018C:1	52.41953	automatically added
YOL058W	ARGSS_c	YOL058W:1	47.32316	automatically added
YDR341C	ARGTRS_c	YDR341C:1	70.10837	automatically added
YHR091C	ARGTRS_m	YHR091C:1	74.33844	automatically added
YDR352W	ARGt_c_v,HISt_c_v,LYSt_c_v	YDR352W:1	35.4686	automatically added
YOL092W	ARGtpa_v,HIStpa_v,LYStpa_v	YOL092W:1	35.15319	automatically added
YBR293W	ARGtpa_v,HIStpa_v,LYStpa_v,TYRtpa_v	YBR293W:1	52.15278	automatically added
YNL270C	ARGtps_e	YNL270C:1	64.56995	automatically added
YEL063C	ARGtps_e,ORNtps_e	YEL063C:1	66.36075	automatically added
YBR147W	ARGtps_m,HISt_c_m,LYSt_c_m,ARGt_c_v,HISt_c_v,LYSt_c_v	YBR147W:1	33.77134	automatically added
YBR034C	ARMT_c	YBR034C:1	40.10062	automatically added
YDR158W	ASAD_c	YDR158W:1	39.8874	automatically added
YDR321W	ASNN_c	YDR321W:1	41.7478	automatically added
YLR155C	ASNN_e	YLR155C:1	39.01614	automatically added
YLR157C	ASNN_e	YLR157C:1	39.01614	automatically added
YLR158C	ASNN_e	YLR158C:1	39.01614	automatically added
YLR160C	ASNN_e	YLR160C:1	39.01614	automatically added
YPR145W	ASNS1_c	YPR145W:1	65.00866	automatically added
YGR124W	ASNS1_c	YGR124W:1	65.12757	automatically added
YHR019C	ASNTRS_c	YHR019C:1	62.73118	automatically added
YCR024C	ASNTRS_m	YCR024C:1	57.26437	automatically added
YJR001W	ASNtpa_v,GLNtpa_v,ILEtpa_v,LEUtpa_v,TYRtpa_v	YJR001W:1	65.93451	automatically added
YDR508C	ASNtps_e,CYStps_e,GLNtps_e,LEUtps_e,METtps_e,SERtps_e,THRtps_e,ASNt_c_m,METt_c_m,SERt_c_m,THRt_c_m	YDR508C:1	74.24437	automatically added
YKL146W	ASNtps_v,GLNtps_v,ILEtps_v,LEUtps_v,TYRtps_v	YKL146W:1	76.13984	automatically added
