id	rxn_src	enz	protein_stoich
RXN-ADPATPt_c_m_FWD-YBR085W	ADPATPt_c_m	YBR085W	YBR085W:1
RXN-ADPATPt_c_m_FWD-YMR056C	ADPATPt_c_m	YMR056C	YMR056C:1
RXN-ADPATPt_c_m_REV-YBL030C	ADPATPt_c_m	YBL030C	YBL030C:1
RXN-ADPATPt_c_m_REV-YBR085W	ADPATPt_c_m	YBR085W	YBR085W:1
RXN-ADPATPt_c_m_REV-YMR056C	ADPATPt_c_m	YMR056C	YMR056C:1
RXN-ADPATPt_c_x_FWD-YPR128C	ADPATPt_c_x	YPR128C	YPR128C:1
RXN-ADPRIB1P_c_FWD-YBR046C	ADPRIB1P_c	YBR046C	YBR046C:1
RXN-ADPRIB1P_c_REV-YBR046C	ADPRIB1P_c	YBR046C	YBR046C:1
RXN-ADPT_c_FWD-YDR441C	ADPT_c	YDR441C	YDR441C:1
RXN-ADPT_c_FWD-YML022W	ADPT_c	YML022W	YML022W:1
RXN-ADPt_c_en_FWD-SPONT	ADPt_c_en	SPONT	zeroCost
RXN-ADPt_c_en_REV-SPONT	ADPt_c_en	SPONT	zeroCost
RXN-ADPt_c_gm_FWD-SPONT	ADPt_c_gm	SPONT	zeroCost
RXN-ADPt_c_gm_REV-SPONT	ADPt_c_gm	SPONT	zeroCost
RXN-ADPt_c_n_FWD-SPONT	ADPt_c_n	SPONT	zeroCost
