"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-M1PS_c_FWD-YJL153C"	 2.124101851141201E+03	 9.817297333975600E-01	 4.75E+04	 0.00E+00
"RXN-ACGAM6PS_c_FWD-YFL017C"	 6.113049822090327E+02	 2.386291041588827E-02	 0.00E+00	 2.86E-09
"RXN-NAMNPP_c_FWD-YOR209C"	 2.302920737070963E+02	 1.608228404598351E-01	 0.00E+00	 4.69E-10
"RXN-NDPK3_c_FWD-YKL067W"	 1.819433307855450E+03	 1.000000000000000E-09	 0.00E+00	 1.82E+03
"RXN-NDPK8_c_FWD-YKL067W"	 8.686248916327855E+01	 1.000000000000000E-09	 0.00E+00	 8.69E+01
"RXN-NDPK7_c_FWD-YKL067W"	 5.863588370697703E+01	 1.000000000000000E-09	 0.00E+00	 5.86E+01
"RXN-NDPK5_c_FWD-YKL067W"	 5.863594381609882E+01	 1.000000000000000E-09	 0.00E+00	 5.86E+01
"RXN-NDPK4_c_FWD-YKL067W"	 1.545044098819040E+02	 1.000000000000000E-09	 0.00E+00	 1.55E+02
"RXN-NDPK1_c_FWD-YKL067W"	 3.899702930258800E+05	 1.016642658118150E-01	 0.00E+00	 4.75E+02
"RXN-NDPK2_c_FWD-YKL067W"	 5.347288672462287E+04	 1.000000000000000E-09	 0.00E+00	 5.35E+04
"RXN-AHSERL2_c_FWD-YLR303W"	 2.867455684186510E+03	 5.612248210724015E-01	 0.00E+00	 1.76E+01
"RXN-OCBT_c_FWD-YJL088W"	 1.101534787654764E+04	 3.616651086861829E-01	 3.21E+02	 0.00E+00
"RXN-OMPDC_c_FWD-YEL021W"	 4.599440215040027E+03	 1.353280799788746E-01	 3.19E+00	 0.00E+00
"RXN-PTPAT_c_FWD-YGR277C"	 7.092284409838595E+00	 4.576578184998073E-02	 0.00E+00	 0.00E+00
"RXN-PRAIS_c_FWD-YGL234W"	 5.302678557627138E+03	 8.322340678891084E-01	 0.00E+00	 2.89E+00
"RXN-ACGAMPM_c_FWD-YEL058W"	 6.113049822090327E+02	 7.196689456086812E-02	 0.00E+00	 1.12E-09
"RXN-GND_c_FWD-YHR183W"	 2.675734710669430E+04	 7.315617072389369E-01	 1.03E+04	 0.00E+00
"RXN-PMANM_c_REV-YFL045C"	 1.666268299112991E+04	 1.927140306665777E-01	 0.00E+00	 3.65E-08
"RXN-PPNCL2_c_FWD-YIL083C"	 7.322600905567015E+00	 2.283780376358480E-02	 0.00E+00	 1.40E-10
"RXN-PRASCSi_c_FWD-YAR015W"	 5.302678557627138E+03	 4.639063587627743E-01	 0.00E+00	 2.89E+00
"RXN-PRAMPC_c_FWD-YCL030C"	 3.580919124431935E+03	 1.000000000000000E-09	 0.00E+00	 3.58E+03
"RXN-PRATPP_c_FWD-YCL030C"	 3.580919124431935E+03	 1.000000000000000E-09	 0.00E+00	 3.58E+03
"RXN-AIRC1_c_FWD-YOR128C"	 5.302678557627138E+03	 2.608840252801678E-01	 0.00E+00	 2.89E+00
"RXN-PRAGSi_c_FWD-YGL234W"	 5.302678557627138E+03	 1.000000000000000E-09	 0.00E+00	 5.30E+03
"RXN-GLUPRT_c_FWD-YMR300C"	 5.302678557627138E+03	 1.908771853624561E-01	 0.00E+00	 2.89E+00
"RXN-PPBNGS_1_c_FWD-YGL040C"	 7.067544544964857E+00	 2.132057086273777E-02	 0.00E+00	 4.85E-01
"RXN-PPNDH_c_FWD-YNL316C"	 7.333544397039715E+03	 2.220977525434472E-02	 0.00E+00	 3.92E+02
"RXN-PPND2_c_FWD-YBR166C"	 5.656330050147306E+03	 3.294659633908580E-02	 0.00E+00	 3.06E+02
"RXN-PROTRS_c_FWD-YHR020W"	 7.814680084732507E+03	 2.604867498521186E-01	 0.00E+00	 2.71E+02
"RXN-RBK_c_FWD-YCR036W"	 5.823647713038481E+02	 1.097527562737493E-02	 0.00E+00	 2.71E+01
"RXN-RNDR3_c_FWD-RNR1234"	 3.544312527475995E+00	 0.000000000000000E+00	 0.00E+00	 3.54E+00
"RXN-RPI_c_FWD-YOR095C"	 5.861843497535439E+04	 1.399017825153802E-01	 0.00E+00	 2.34E+02
"RXN-SAM24MT_c_FWD-YML008C"	 6.498526665496187E+02	 5.495924722937363E-01	 6.50E+02	 0.00E+00
"RXN-SACCD2_c_FWD-YIR034C"	 1.549449899510003E+04	 4.751600884513635E-01	 1.24E-08	 0.00E+00
"RXN-SACCD1_c_FWD-YNR050C"	 1.549449899510003E+04	 1.098530897242996E+00	 5.04E-10	 0.00E+00
"RXN-SERTRS_c_FWD-YDR023W"	 1.261551022240618E+04	 2.783509858031302E-01	 1.47E+03	 0.00E+00
"RXN-SHK3Di_c_FWD-YDR127W"	 1.471152925774388E+04	 9.736647596382857E-02	 0.00E+00	 6.04E+02
"RXN-SHKK_c_FWD-YDR127W"	 1.471152925774388E+04	 1.000000000000000E-09	 0.00E+00	 1.47E+04
"RXN-SHCHD2_c_FWD-YBR213W"	 6.042477088697618E-01	 1.000000000000000E-09	 0.00E+00	 6.04E-01
"RXN-SHCHF_c_FWD-YBR213W"	 6.042477088697618E-01	 2.078204506338723E-02	 0.00E+00	 1.21E-01
