rxn	upper-bound
PROSYN-rt5240	0.00000000
PROSYN-rt5246	0.00000000
PROSYN-rt5249	0.00000000
PROSYN-rt5258_c	0.00000000
PROSYN-rt5258_x	0.00000000
PROSYN-rt5259	0.00000000
PROSYN-rt5260	0.00000000
PROSYN-rt5262	0.00000000
PROSYN-rt5273	0.00000000
PROSYN-rt5285	0.00000000
PROSYN-rt5301	0.00000000
PROSYN-rt5309	0.00000000
PROSYN-rt5312	0.00000000
PROSYN-rt5322	0.00000000
PROSYN-rt5326	0.00000000
PROSYN-rt5328	0.00000000
PROSYN-rt5332_c	0.00000000
PROSYN-rt5332_x	0.00000000
PROSYN-rt5340	0.00000000
PROSYN-rt5341	0.00000000
PROSYN-rt5343	0.00000000
PROSYN-rt5354	0.00000000
PROSYN-rt5356	0.00000000
PROSYN-rt5359	0.00000000
PROSYN-rt5360	0.00000000
PROSYN-rt5361	0.00000000
PROSYN-rt5363	0.00000000
PROSYN-rt5365	0.00000000
PROSYN-rt5371	0.00000000
PROSYN-rt5389	0.00000000
PROSYN-rt5391	0.00000000
PROSYN-rt5395	0.00000000
PROSYN-rt5398	0.00000000
PROSYN-rt5402	0.00000000
PROSYN-rt5403	0.00000000
PROSYN-rt5407	0.00000000
PROSYN-rt5416	0.00000000
PROSYN-rt5418	0.00000000
PROSYN-rt5429	0.00000000
PROSYN-rt5445	0.00000000
PROSYN-rt5456	0.00000000
PROSYN-rt5466	0.00000000
PROSYN-rt5472	0.00000000
PROSYN-rt5474	0.00000000
PROSYN-rt5489	0.00000000
PROSYN-rt5526	0.00000000
PROSYN-rt5532	0.00000000
PROSYN-rt5535	0.00000000
PROSYN-rt5549	0.00000000
PROSYN-rt5558	0.00000000
PROSYN-rt5562_m	0.00000000
PROSYN-rt5562_x	0.00000000
PROSYN-rt5579	0.00000000
PROSYN-rt5580	0.00000000
PROSYN-rt5596	0.00000000
PROSYN-rt5601	0.00000000
